,movie,type,word,minutes_in
0,Reservoir Dogs,word,dick,0.4
1,Reservoir Dogs,word,dicks,0.43
2,Reservoir Dogs,word,fucked,0.55
3,Reservoir Dogs,word,fucking,0.61
4,Reservoir Dogs,word,bullshit,0.61
5,Reservoir Dogs,word,fuck,0.66
6,Reservoir Dogs,word,shit,0.9
7,Reservoir Dogs,word,fuck,1.43
8,Reservoir Dogs,word,dicks,1.56
9,Reservoir Dogs,word,fuck,1.66
10,Reservoir Dogs,word,dick,1.75
11,Reservoir Dogs,word,dick,1.75
12,Reservoir Dogs,word,dick,1.75
13,Reservoir Dogs,word,dick,1.75
14,Reservoir Dogs,word,dick,1.75
15,Reservoir Dogs,word,dick,1.75
16,Reservoir Dogs,word,dick,1.75
17,Reservoir Dogs,word,dicks,1.75
18,Reservoir Dogs,word,motherfucker,1.83
19,Reservoir Dogs,word,dick,1.96
20,Reservoir Dogs,word,pussy,2.15
21,Reservoir Dogs,word,fucks,2.18
22,Reservoir Dogs,word,fuck,2.3
23,Reservoir Dogs,word,fucking,2.45
24,Reservoir Dogs,word,hell,2.48
25,Reservoir Dogs,word,fucking,2.51
26,Reservoir Dogs,word,fucking,2.81
27,Reservoir Dogs,word,dick,2.86
28,Reservoir Dogs,word,jap,2.93
29,Reservoir Dogs,word,fuck,3.05
30,Reservoir Dogs,word,shit,3.2
31,Reservoir Dogs,word,fucking,3.4
32,Reservoir Dogs,word,fucking,3.55
33,Reservoir Dogs,word,fucking,3.7
34,Reservoir Dogs,word,motherfucker,3.93
35,Reservoir Dogs,word,motherfucker,3.98
36,Reservoir Dogs,word,shit,4.35
37,Reservoir Dogs,word,shit,4.76
38,Reservoir Dogs,word,fucking,4.86
39,Reservoir Dogs,word,dick,5.25
40,Reservoir Dogs,word,fucking,5.41
41,Reservoir Dogs,word,fucking,5.51
42,Reservoir Dogs,word,fucking,5.55
43,Reservoir Dogs,word,fucking,5.61
44,Reservoir Dogs,word,bullshit,6.23
45,Reservoir Dogs,word,fuck,6.46
